Startzeitpunkt;Start_text;Endezeitpunkt;Ende_text;Elektrische Leitfähigkeit [µS/cm];Sauerstoffgehalt [mg/L];pH-Wert;Temperatur [°C]
2023-02-02T15:45:00+00:00;02.02.2023 16:45:00;2023-02-02T16:00:00+00:00;02.02.2023 17:00:00;428.7;12.25;8.05;5.95
2023-02-02T17:15:00+00:00;02.02.2023 18:15:00;2023-02-02T17:30:00+00:00;02.02.2023 18:30:00;427.5;12.24;8.05;5.97
2023-02-02T17:45:00+00:00;02.02.2023 18:45:00;2023-02-02T18:00:00+00:00;02.02.2023 19:00:00;424.9;12.26;8.05;5.97
2023-02-02T19:15:00+00:00;02.02.2023 20:15:00;2023-02-02T19:30:00+00:00;02.02.2023 20:30:00;425.4;12.26;8.05;5.99
2023-02-02T18:45:00+00:00;02.02.2023 19:45:00;2023-02-02T19:00:00+00:00;02.02.2023 20:00:00;425.3;12.26;8.04;5.99
2023-02-02T22:30:00+00:00;02.02.2023 23:30:00;2023-02-02T22:45:00+00:00;02.02.2023 23:45:00;423.6;12.23;8.04;6.01
2023-02-03T03:45:00+00:00;03.02.2023 04:45:00;2023-02-03T04:00:00+00:00;03.02.2023 05:00:00;414.1;12.4;8.05;5.99
2023-02-03T01:00:00+00:00;03.02.2023 02:00:00;2023-02-03T01:15:00+00:00;03.02.2023 02:15:00;421.2;12.33;8.04;5.99
2023-02-03T01:15:00+00:00;03.02.2023 02:15:00;2023-02-03T01:30:00+00:00;03.02.2023 02:30:00;419.4;12.35;8.04;5.99
2023-02-03T00:45:00+00:00;03.02.2023 01:45:00;2023-02-03T01:00:00+00:00;03.02.2023 02:00:00;421.3;12.32;8.04;5.99
2023-02-03T02:00:00+00:00;03.02.2023 03:00:00;2023-02-03T02:15:00+00:00;03.02.2023 03:15:00;414.6;12.36;8.05;5.98
2023-02-03T03:00:00+00:00;03.02.2023 04:00:00;2023-02-03T03:15:00+00:00;03.02.2023 04:15:00;412.2;12.43;8.05;5.98
2023-02-03T04:15:00+00:00;03.02.2023 05:15:00;2023-02-03T04:30:00+00:00;03.02.2023 05:30:00;412.9;12.4;8.05;5.99
2023-02-03T04:30:00+00:00;03.02.2023 05:30:00;2023-02-03T04:45:00+00:00;03.02.2023 05:45:00;411.9;12.41;8.05;5.98
2023-02-03T07:30:00+00:00;03.02.2023 08:30:00;2023-02-03T07:45:00+00:00;03.02.2023 08:45:00;411.7;12.35;8.04;6.01
2023-02-03T07:45:00+00:00;03.02.2023 08:45:00;2023-02-03T08:00:00+00:00;03.02.2023 09:00:00;412.2;12.31;8.03;6.03
2023-02-03T19:00:00+00:00;03.02.2023 20:00:00;2023-02-03T19:15:00+00:00;03.02.2023 20:15:00;436.8;12.26;8.04;6.34
2023-02-03T21:00:00+00:00;03.02.2023 22:00:00;2023-02-03T21:15:00+00:00;03.02.2023 22:15:00;427.6;12.24;8.04;6.37
2023-02-03T08:30:00+00:00;03.02.2023 09:30:00;2023-02-03T08:45:00+00:00;03.02.2023 09:45:00;409.6;12.41;8.04;6.02
