Zeitstempel;Niederschlag;Luftfeuchtigkeit;Globalstrahlung [W/m2];Lufttemperatur;Windgeschwindigkeit;Windrichtung
2023-05-18T03:00:01+02:00;0.0;65.8;0.0;8.67;0.6;166.0
2023-05-18T04:00:01+02:00;0.0;69.02;0.0;8.31;0.4;157.0
2023-05-18T07:00:01+02:00;0.0;84.92;42.0;6.41;0.5;27.0
2023-05-18T08:00:01+02:00;0.0;82.42;173.0;6.97;0.6;111.0
2023-05-18T09:00:01+02:00;0.0;75.1;377.0;8.28;0.7;130.0
2023-05-18T10:00:01+02:00;0.0;68.49;523.0;10.07;0.8;119.0
2023-05-18T12:00:01+02:00;0.0;56.21;553.0;13.22;1.1;127.0
2023-05-17T23:00:01+02:00;0.0;58.34;0.0;11.61;1.1;168.0
2023-05-18T01:00:01+02:00;0.0;59.47;0.0;10.34;0.9;191.0
2023-05-18T20:00:02+02:00;0.0;49.56;29.0;15.55;0.8;271.0
2023-05-18T18:00:01+02:00;0.0;46.81;136.0;16.28;1.2;256.0
2023-05-18T19:00:01+02:00;0.0;48.95;74.0;15.87;1.0;266.0
2023-05-19T00:00:01+02:00;0.0;54.01;0.0;14.05;0.6;205.0
2023-05-19T01:00:01+02:00;0.0;56.26;0.0;13.68;0.7;194.0
2023-05-19T05:00:01+02:00;0.0;62.15;0.0;12.79;0.5;229.0
2023-05-19T06:00:01+02:00;0.0;68.85;0.0;12.39;0.6;139.0
2023-05-19T11:00:01+02:00;0.0;60.74;633.0;14.12;0.9;150.0
2023-05-19T13:00:01+02:00;0.0;55.46;448.0;15.69;0.9;149.0
2023-05-19T16:00:01+02:00;0.0;55.49;157.0;16.61;0.9;176.0
2023-05-19T22:00:01+02:00;0.0;58.09;0.0;15.01;0.9;250.0
2023-05-19T23:00:01+02:00;0.0;58.82;0.0;14.51;1.1;194.0
2023-05-20T00:00:01+02:00;0.0;59.12;0.0;14.33;0.9;200.0
2023-05-20T02:00:01+02:00;0.0;66.09;0.0;13.52;0.6;140.0
2023-05-20T04:00:01+02:00;0.0;68.84;0.0;13.33;0.7;33.0
2023-05-20T05:00:01+02:00;0.0;72.01;0.0;12.87;0.7;55.0
2023-05-20T06:00:01+02:00;0.0;73.04;0.0;12.7;0.6;14.0
2023-05-20T09:00:01+02:00;0.0;74.56;99.0;12.83;0.7;34.0
2023-05-20T10:00:01+02:00;0.0;73.33;126.0;13.26;0.5;180.0
2023-05-21T16:00:01+02:00;0.0;51.71;692.0;24.04;1.4;142.0
2023-04-30T12:00:01+02:00;0.0;73.09;565.0;14.46;0.9;121.0
